Date,Open,High,Low,Close,Volume,Adj Close
1997-08-07,96.50,96.625,95.125,95.3125,3641900,69.072915
1997-08-06,95.4375,96.531197,95.0625,96.031197,2478200,69.593754
1997-08-05,95.093697,95.6875,94.906197,95.25,1466700,69.027621
1997-08-04,94.781197,95.546799,94.406197,95.1875,2339500,68.982328
1997-08-01,95.50,95.718697,93.8125,94.9375,7077700,68.801153
1997-07-31,95.406197,96.031197,95.031197,95.3125,2138700,69.072915
1997-07-30,94.50,95.625,94.406197,95.406197,4839800,69.140817
1997-07-29,93.625,94.468697,93.421799,94.281197,2737100,68.32553
1997-07-28,94.25,94.5625,93.50,93.968697,2794700,68.099062
1997-07-25,94.5625,94.8125,93.625,94.031197,2364800,68.144355
1997-07-24,93.9375,94.265602,92.6875,94.093697,4152700,68.189649
1997-07-23,93.9375,94.484299,93.531197,93.656197,3204300,67.872593
1997-07-22,91.6875,93.796799,91.625,93.734299,4243400,67.929194
1997-07-21,91.281197,91.593697,90.6875,91.3125,3810300,66.174117
1997-07-18,93.015602,93.218697,91.0625,91.296799,3961900,66.162739
1997-07-17,93.625,93.8125,92.781197,93.281197,1794800,67.600831
1997-07-16,93.125,94.093697,92.890602,93.75,2621300,67.940572
1997-07-15,92.3125,92.765602,91.468697,92.531197,2983100,67.057306
1997-07-14,91.890602,92.3125,91.218697,92.0625,3186400,66.717642
1997-07-11,91.593697,92.1875,91.375,91.781197,2258900,66.513782
1997-07-10,91.125,91.843697,90.484299,91.468697,2072200,66.287313
1997-07-09,92.3125,92.375,90.031197,91.0625,5390300,65.992943
1997-07-08,91.25,92.1875,91.1875,92.078102,3396500,66.728949
1997-07-07,92.375,92.50,90.906197,91.125,1158600,66.038236
1997-07-03,91.875,92.156197,91.468697,92.0625,2539100,66.717642
1997-07-02,89.5625,90.8125,89.218697,90.8125,1961800,65.811768
1997-07-01,88.50,89.5625,88.390602,89.343697,1749000,64.747327
1997-06-30,88.906197,89.468697,87.875,88.3125,2384900,64.000019
1997-06-27,88.968697,89.718697,88.6875,88.906197,2617900,64.430271
1997-06-26,88.843697,89.625,87.6875,88.5625,2569900,64.181194
1997-06-25,89.484299,90.25,87.9375,89.00,4708900,64.49825
1997-06-24,88.25,89.875,88.00,89.625,4895100,64.951187
1997-06-23,89.406197,89.906197,87.343697,87.406197,3991500,63.343222
1997-06-20,89.9375,90.343697,89.50,89.578102,1396900,64.9172
